Sentence,Word_Count,Tag_Count,Word_Tag_Pairs
Anayasa ile Bütçe kanunu bu hüküm dışındadır.,8,4,Anayasa:AD-NOUN|ile:İLGEÇ-PREPOS|Bütçe:AD-NOUN|kanunu:AD-NOUN|bu:BELİRLEYİCİ-DET|hüküm:AD-NOUN|dışındadır:AD-NOUN|.:NOKTALAMA-PUNCTUATION
Anayasanın hiçbir maddesi hiçbir sebep ve bahane ile savsanamaz ve işlerlikten alakonamaz.,13,6,Anayasanın:AD-NOUN|hiçbir:BELİRLEYİCİ-DET|maddesi:AD-NOUN|hiçbir:BELİRLEYİCİ-DET|sebep:AD-NOUN|ve:BAĞLAÇ-CONJ|bahane:AD-NOUN|ile:İLGEÇ-PREPOS|savsanamaz:FİİL-VERB|ve:BAĞLAÇ-CONJ|işlerlikten:AD-NOUN|alakonamaz:FİİL-VERB|.:NOKTALAMA-PUNCTUATION
Ancak bu halde yetkili makam bunu hemen Meclise bildirmek ödevindedir.,33,8,Ancak:BAĞLAÇ-CONJ|bu:BELİRLEYİCİ-DET|halde:AD-NOUN|yetkili:SIFAT-ADJECTIVE|makam:AD-NOUN|bunu:ADIL-PRONOUN|hemen:BELİRTEÇ-ADVERB|Meclise:AD-NOUN|bildirmek:FİİL-VERB|ödevindedir:AD-NOUN|.:NOKTALAMA-PUNCTUATION|Ancak:BELİRTEÇ-ADVERB|bu:BELİRLEYİCİ-DET|halde:AD-NOUN|yetkili:SIFAT-ADJECTIVE|makam:AD-NOUN|bunu:ADIL-PRONOUN|hemen:BELİRTEÇ-ADVERB|Meclise:AD-NOUN|bildirmek:FİİL-VERB|ödevindedir:AD-NOUN|.:NOKTALAMA-PUNCTUATION|Ancak:BAĞLAÇ-CONJ|bu:BELİRLEYİCİ-DET|halde:AD-NOUN|yetkili:SIFAT-ADJECTIVE|makam:AD-NOUN|bunu:ADIL-PRONOUN|hemen:BELİRTEÇ-ADVERB|Meclise:AD-NOUN|bildirmek:FİİL-VERB|ödevindedir:AD-NOUN|.:NOKTALAMA-PUNCTUATION
Ancak kanun hükmüne bağlıdırlar.,5,4,Ancak:BAĞLAÇ-CONJ|kanun:AD-NOUN|hükmüne:AD-NOUN|bağlıdırlar:FİİL-VERB|.:NOKTALAMA-PUNCTUATION
Ankara'dan İstanbul'a kadar arabayla gittik.,5,3,Ankara'dan:AD-NOUN|İstanbul'a:AD-NOUN|kadar:İLGEÇ-PREPOS|arabayla:AD-NOUN|gittik.:FİİL-VERB
Ankara'ya günübirlik gitti.,3,3,Ankara'ya:AD-NOUN|günübirlik:BELİRTEÇ-ADVERB|gitti:FİİL-VERB
Ankara'ya uçakla gitmeye karar verdik.,5,2,Ankara'ya:AD-NOUN|uçakla:AD-NOUN|gitmeye:FİİL-VERB|karar:AD-NOUN|verdik.:FİİL-VERB
Anketör herkese aynı soruyu yöneltti.,5,4,Anketör:AD-NOUN|herkese:ADIL-PRONOUN|aynı:SIFAT-ADJECTIVE|soruyu:AD-NOUN|yöneltti:FİİL-VERB
Anlaşma savaşı bitirdi.,3,2,Anlaşma:AD-NOUN|savaşı:AD-NOUN|bitirdi.:FİİL-VERB
Anlaşma sağlanana kadar müzakereler devam etti.,6,3,Anlaşma:AD-NOUN|sağlanana:FİİL-VERB|kadar:İLGEÇ-PREPOS|müzakereler:AD-NOUN|devam:AD-NOUN|etti.:FİİL-VERB
Anlaşma ülkeye barış getirdi.,4,2,Anlaşma:AD-NOUN|ülkeye:AD-NOUN|barış:AD-NOUN|getirdi:FİİL-VERB
Anne bütün gece bebeğin başında nöbet tuttu.,7,3,Anne:AD-NOUN|bütün:BELİRLEYİCİ-DET|gece:AD-NOUN|bebeğin:AD-NOUN|başında:AD-NOUN|nöbet:AD-NOUN|tuttu.:FİİL-VERB
Anne defalarca uyardı.,3,3,Anne:AD-NOUN|defalarca:BELİRTEÇ-ADVERB|uyardı:FİİL-VERB
Anne endişeyle sordu.,3,3,Anne:AD-NOUN|endişeyle:BELİRTEÇ-ADVERB|sordu:FİİL-VERB
Anne sevgiyle kucakladı.,3,3,Anne:AD-NOUN|sevgiyle:BELİRTEÇ-ADVERB|kucakladı:FİİL-VERB
Anne çocukları parka oynamaya götürdü.,5,2,Anne:AD-NOUN|çocukları:AD-NOUN|parka:AD-NOUN|oynamaya:FİİL-VERB|götürdü.:FİİL-VERB
Anne çocuğunu büyüttü.,3,2,Anne:AD-NOUN|çocuğunu:AD-NOUN|büyüttü.:FİİL-VERB
Anneanne kazağı ördü.,3,2,Anneanne:AD-NOUN|kazağı:AD-NOUN|ördü.:FİİL-VERB
Anneanne çocuklara masal anlattı.,4,2,Anneanne:AD-NOUN|çocuklara:AD-NOUN|masal:AD-NOUN|anlattı:FİİL-VERB
Annem akşama dönecek.,3,3,Annem:AD-NOUN|akşama:BELİRTEÇ-ADVERB|dönecek:FİİL-VERB
Annem bütün evi bayram için baştan aşağı temizledi.,8,5,Annem:AD-NOUN|bütün:BELİRLEYİCİ-DET|evi:AD-NOUN|bayram:AD-NOUN|için:İLGEÇ-PREPOS|baştan:BELİRTEÇ-ADVERB|aşağı:BELİRTEÇ-ADVERB|temizledi.:FİİL-VERB
Annem ekmeği kesti.,3,2,Annem:AD-NOUN|ekmeği:AD-NOUN|kesti.:FİİL-VERB
Annem gençleşti.,2,2,Annem:AD-NOUN|gençleşti:FİİL-VERB
Annem kapıyı kapattı.,3,2,Annem:AD-NOUN|kapıyı:AD-NOUN|kapattı.:FİİL-VERB
Annem sabahları koşar.,3,3,Annem:AD-NOUN|sabahları:BELİRTEÇ-ADVERB|koşar:FİİL-VERB
Annem sofrayı kurdu.,3,2,Annem:AD-NOUN|sofrayı:AD-NOUN|kurdu.:FİİL-VERB
Annemin yemekleri gibi lezzetlisi yok.,5,3,Annemin:AD-NOUN|yemekleri:AD-NOUN|gibi:İLGEÇ-PREPOS|lezzetlisi:SIFAT-ADJECTIVE|yok.:AD-NOUN
Annesi gittiğine üzüldü.,3,2,Annesi:AD-NOUN|gittiğine:FİİL-VERB|üzüldü.:FİİL-VERB
Annesi ona en sevdiği yemeği pişirdi.,6,5,Annesi:AD-NOUN|ona:ADIL-PRONOUN|en:BELİRTEÇ-ADVERB|sevdiği:SIFAT-ADJECTIVE|yemeği:AD-NOUN|pişirdi:FİİL-VERB
Annesi üzüldü.,2,2,Annesi:AD-NOUN|üzüldü:FİİL-VERB
Antrenör takımına moral aşıladı.,4,2,Antrenör:AD-NOUN|takımına:AD-NOUN|moral:AD-NOUN|aşıladı:FİİL-VERB
Antropolog farklı kültürler tanıdı.,4,3,Antropolog:AD-NOUN|farklı:SIFAT-ADJECTIVE|kültürler:AD-NOUN|tanıdı.:FİİL-VERB
Araba durdu.,2,2,Araba:AD-NOUN|durdu:FİİL-VERB
Arabası bozulduğu için toplantıya geç kaldı.,6,4,Arabası:AD-NOUN|bozulduğu:FİİL-VERB|için:İLGEÇ-PREPOS|toplantıya:AD-NOUN|geç:BELİRTEÇ-ADVERB|kaldı.:FİİL-VERB
Arabayla yaklaşık üç saat sürdü yolculuk.,6,4,Arabayla:AD-NOUN|yaklaşık:BELİRTEÇ-ADVERB|üç:SIFAT-ADJECTIVE|saat:AD-NOUN|sürdü:FİİL-VERB|yolculuk.:AD-NOUN
Araverme sırasında Cumhurbaşkanı veya Meclis Başkanı gerekli görürse meclisi toplanmıya çağırabilir.,24,6,Araverme:AD-NOUN|sırasında:İLGEÇ-PREPOS|Cumhurbaşkanı:AD-NOUN|veya:BAĞLAÇ-CONJ|Meclis:AD-NOUN|Başkanı:AD-NOUN|gerekli:SIFAT-ADJECTIVE|görürse:FİİL-VERB|meclisi:AD-NOUN|toplanmıya:FİİL-VERB|çağırabilir:FİİL-VERB|.:NOKTALAMA-PUNCTUATION|Araverme:AD-NOUN|sırasında:İLGEÇ-PREPOS|Cumhurbaşkanı:AD-NOUN|veya:BAĞLAÇ-CONJ|Meclis:AD-NOUN|Başkanı:AD-NOUN|gerekli:AD-NOUN|görürse:FİİL-VERB|meclisi:AD-NOUN|toplanmıya:FİİL-VERB|çağırabilir:FİİL-VERB|.:NOKTALAMA-PUNCTUATION
Arkadaşlar buluştu.,2,2,Arkadaşlar:AD-NOUN|buluştu:FİİL-VERB
Arkadaşları ile sinemaya gidecekmiş.,4,3,Arkadaşları:AD-NOUN|ile:İLGEÇ-PREPOS|sinemaya:AD-NOUN|gidecekmiş.:FİİL-VERB
Arkadaşlarına şaka yaptı.,3,2,Arkadaşlarına:AD-NOUN|şaka:AD-NOUN|yaptı:FİİL-VERB
Arkadaşı moralini düzeltti.,3,2,Arkadaşı:AD-NOUN|moralini:AD-NOUN|düzeltti.:FİİL-VERB
Arkadaşı ona zor zamanında destek oldu.,6,4,Arkadaşı:AD-NOUN|ona:ADIL-PRONOUN|zor:SIFAT-ADJECTIVE|zamanında:AD-NOUN|destek:AD-NOUN|oldu:FİİL-VERB
Arkadaşım bana kitabı verdi.,4,3,Arkadaşım:AD-NOUN|bana:ADIL-PRONOUN|kitabı:AD-NOUN|verdi:FİİL-VERB
Arkadaşım zayıfladı.,2,2,Arkadaşım:AD-NOUN|zayıfladı:FİİL-VERB
Arkadaşına güvendi.,2,2,Arkadaşına:AD-NOUN|güvendi:FİİL-VERB
Arkadaşıyla buluşmak üzere evden çıktı.,5,3,Arkadaşıyla:AD-NOUN|buluşmak:FİİL-VERB|üzere:İLGEÇ-PREPOS|evden:AD-NOUN|çıktı.:FİİL-VERB
Arsa değerlendi.,2,2,Arsa:AD-NOUN|değerlendi:FİİL-VERB
Asistan raporu hazırladı.,3,2,Asistan:AD-NOUN|raporu:AD-NOUN|hazırladı.:FİİL-VERB
Asker emri uyguladı.,3,2,Asker:AD-NOUN|emri:AD-NOUN|uyguladı.:FİİL-VERB
Asker komutanına olan biteni soğukkanlılıkla anlattı.,6,3,Asker:AD-NOUN|komutanına:AD-NOUN|olan:SIFAT-ADJECTIVE|biteni:AD-NOUN|soğukkanlılıkla:AD-NOUN|anlattı.:FİİL-VERB
Asker mektubu hemen yazdı.,4,3,Asker:AD-NOUN|mektubu:AD-NOUN|hemen:BELİRTEÇ-ADVERB|yazdı.:FİİL-VERB
Asker mektubu yazdı.,3,2,Asker:AD-NOUN|mektubu:AD-NOUN|yazdı.:FİİL-VERB
Asker savaştı.,2,2,Asker:AD-NOUN|savaştı:FİİL-VERB
Askerler cesurca savaştı.,3,3,Askerler:AD-NOUN|cesurca:BELİRTEÇ-ADVERB|savaştı:FİİL-VERB
Askerler saldırıyı püskürttü.,3,2,Askerler:AD-NOUN|saldırıyı:AD-NOUN|püskürttü.:FİİL-VERB
Aslan avı yakaladı.,3,2,Aslan:AD-NOUN|avı:AD-NOUN|yakaladı.:FİİL-VERB
Aslan gibi cesurca savaştılar.,4,4,Aslan:AD-NOUN|gibi:İLGEÇ-PREPOS|cesurca:BELİRTEÇ-ADVERB|savaştılar.:FİİL-VERB
Aslan kükredi.,2,2,Aslan:AD-NOUN|kükredi:FİİL-VERB
At hızlıca koştu.,3,3,At:ADIL-PRONOUN|hızlıca:BELİRTEÇ-ADVERB|koştu:FİİL-VERB
Ateş gibi yanan alnına ıslak bez koydu.,7,4,Ateş:AD-NOUN|gibi:İLGEÇ-PREPOS|yanan:SIFAT-ADJECTIVE|alnına:AD-NOUN|ıslak:SIFAT-ADJECTIVE|bez:AD-NOUN|koydu.:FİİL-VERB
Ateş yandı.,2,2,Ateş:AD-NOUN|yandı:FİİL-VERB
Atlet rekoru kırdı.,3,2,Atlet:AD-NOUN|rekoru:AD-NOUN|kırdı.:FİİL-VERB
Atölyeye istekle katıldı.,3,3,Atölyeye:AD-NOUN|istekle:BELİRTEÇ-ADVERB|katıldı:FİİL-VERB
Avcı tuzak kurdu.,3,2,Avcı:AD-NOUN|tuzak:AD-NOUN|kurdu.:FİİL-VERB
Avcı usulca yaklaştı.,3,3,Avcı:AD-NOUN|usulca:BELİRTEÇ-ADVERB|yaklaştı:FİİL-VERB
Avukat davayı kazandı.,3,2,Avukat:AD-NOUN|davayı:AD-NOUN|kazandı.:FİİL-VERB
Avukat onlara gerçeği kanıtladı.,4,3,Avukat:AD-NOUN|onlara:ADIL-PRONOUN|gerçeği:AD-NOUN|kanıtladı:FİİL-VERB
Avukat onun ne kadar masum olduğunu savundu.,7,6,Avukat:AD-NOUN|onun:ADIL-PRONOUN|ne:SORU-QUESTION|kadar:İLGEÇ-PREPOS|masum:SIFAT-ADJECTIVE|olduğunu:FİİL-VERB|savundu.:FİİL-VERB
Avukat tanığa bazı fotoğraflar gösterdi.,5,3,Avukat:AD-NOUN|tanığa:AD-NOUN|bazı:BELİRLEYİCİ-DET|fotoğraflar:AD-NOUN|gösterdi:FİİL-VERB
Ay doğdu.,2,2,Ay:AD-NOUN|doğdu:FİİL-VERB
Ay sonuna kadar bu parayla idare etmeliyim.,7,4,Ay:AD-NOUN|sonuna:AD-NOUN|kadar:İLGEÇ-PREPOS|bu:BELİRLEYİCİ-DET|parayla:AD-NOUN|idare:AD-NOUN|etmeliyim.:FİİL-VERB
Ay ışığı bize karanlıkta yol gösterdi.,6,3,Ay:AD-NOUN|ışığı:AD-NOUN|bize:ADIL-PRONOUN|karanlıkta:AD-NOUN|yol:AD-NOUN|gösterdi:FİİL-VERB
Ayakları kurşun kadar ağırlaşmıştı.,4,3,Ayakları:AD-NOUN|kurşun:AD-NOUN|kadar:İLGEÇ-PREPOS|ağırlaşmıştı.:FİİL-VERB
Ayağı uyuştu.,2,2,Ayağı:AD-NOUN|uyuştu:FİİL-VERB
Aylardır görmediği annesine sarılana kadar rahatlamadı.,6,4,Aylardır:AD-NOUN|görmediği:SIFAT-ADJECTIVE|annesine:AD-NOUN|sarılana:FİİL-VERB|kadar:İLGEÇ-PREPOS|rahatlamadı.:FİİL-VERB
Aynadaki yansıması gibiydi kardeşi.,4,2,Aynadaki:AD-NOUN|yansıması:AD-NOUN|gibiydi:FİİL-VERB|kardeşi.:AD-NOUN
Aynanın karşısında tarandı.,3,2,Aynanın:AD-NOUN|karşısında:AD-NOUN|tarandı:FİİL-VERB
Aynı filmi beş kez izledik.,6,6,Aynı:SIFAT-ADJ|filmi:İSİM-NOUN|beş:SAYI-NUM|kez:ZARF-ADV|izledik:FİİL-VERB|.:NOKTALAMA-PUNC
Aynı hatayı iki defa yaptım.,6,6,Aynı:SIFAT-ADJ|hatayı:İSİM-NOUN|iki:SAYI-NUM|defa:ZARF-ADV|yaptım:FİİL-VERB|.:NOKTALAMA-PUNC
Aynı şarkıyı üç defa çaldı.,6,6,Aynı:SIFAT-ADJ|şarkıyı:İSİM-NOUN|üç:SAYI-NUM|defa:ZARF-ADV|çaldı:FİİL-VERB|.:NOKTALAMA-PUNC
Ayrıca belirtti.,2,2,Ayrıca:BELİRTEÇ-ADVERB|belirtti:FİİL-VERB
Ayşe sınavı geçti.,3,2,Ayşe:AD-NOUN|sınavı:AD-NOUN|geçti.:FİİL-VERB
Ayşe'nin yeni elbisesi,3,2,Ayşe'nin:AD-NOUN|yeni:SIFAT-ADJECTIVE|elbisesi:AD-NOUN
Ayşe'ye çiçek gönderdi,3,2,Ayşe'ye:AD-NOUN|çiçek:AD-NOUN|gönderdi:FİİL-VERB
Aç kurt yemeği iştahla yedi.,5,3,Aç:SIFAT-ADJECTIVE|kurt:AD-NOUN|yemeği:AD-NOUN|iştahla:AD-NOUN|yedi.:FİİL-VERB
Ağacın arkasına saklanmıştı.,3,2,Ağacın:AD-NOUN|arkasına:AD-NOUN|saklanmıştı:FİİL-VERB
Ağacın tepesine kadar tırmanmayı başardı.,5,3,Ağacın:AD-NOUN|tepesine:AD-NOUN|kadar:İLGEÇ-PREPOS|tırmanmayı:FİİL-VERB|başardı.:FİİL-VERB
Ağaç eğildi.,2,2,Ağaç:AD-NOUN|eğildi:FİİL-VERB
Ağaçlar yeşerdi.,2,2,Ağaçlar:AD-NOUN|yeşerdi:FİİL-VERB
Ağlarken hıçkırdı.,2,1,Ağlarken:FİİL-VERB|hıçkırdı:FİİL-VERB
Ağrısı dindi.,2,2,Ağrısı:AD-NOUN|dindi:FİİL-VERB
Ağzından çıkan her söz kanun gibiydi.,6,4,Ağzından:AD-NOUN|çıkan:SIFAT-ADJECTIVE|her:BELİRLEYİCİ-DET|söz:AD-NOUN|kanun:AD-NOUN|gibiydi.:FİİL-VERB
Aşçı çorbayı karıştırdı.,3,2,Aşçı:AD-NOUN|çorbayı:AD-NOUN|karıştırdı.:FİİL-VERB
Baba çocuklara masalı yavaşça anlattı.,5,3,Baba:AD-NOUN|çocuklara:AD-NOUN|masalı:AD-NOUN|yavaşça:BELİRTEÇ-ADVERB|anlattı.:FİİL-VERB
Baba çocuğa masal kitabı okudu.,5,2,Baba:AD-NOUN|çocuğa:AD-NOUN|masal:AD-NOUN|kitabı:AD-NOUN|okudu:FİİL-VERB
Babam bana hayatı öğretti.,4,3,Babam:AD-NOUN|bana:ADIL-PRONOUN|hayatı:AD-NOUN|öğretti:FİİL-VERB
Babam dün geldi.,3,3,Babam:AD-NOUN|dün:BELİRTEÇ-ADVERB|geldi:FİİL-VERB
Babam gibi ben de erken kalkarım.,6,6,Babam:AD-NOUN|gibi:İLGEÇ-PREPOS|ben:ADIL-PRONOUN|de:BAĞLAÇ-CONJ|erken:BELİRTEÇ-ADVERB|kalkarım.:FİİL-VERB
Babam her sabah işe arabayla gider.,6,3,Babam:AD-NOUN|her:BELİRLEYİCİ-DET|sabah:AD-NOUN|işe:AD-NOUN|arabayla:AD-NOUN|gider.:FİİL-VERB
Babası gibi o da mühendis olmak istiyor.,7,5,Babası:AD-NOUN|gibi:İLGEÇ-PREPOS|o:ADIL-PRONOUN|da:BAĞLAÇ-CONJ|mühendis:AD-NOUN|olmak:FİİL-VERB|istiyor.:FİİL-VERB
Babası horladı.,2,2,Babası:AD-NOUN|horladı:FİİL-VERB
Baca tüttü.,2,2,Baca:AD-NOUN|tüttü:FİİL-VERB
Bacaklarıma kadar çamura battım.,4,3,Bacaklarıma:AD-NOUN|kadar:İLGEÇ-PREPOS|çamura:AD-NOUN|battım.:FİİL-VERB
Bahar gelmiş gibiydi,3,2,Bahar:AD-NOUN|gelmiş:FİİL-VERB|gibiydi:FİİL-VERB
Bahçede gezindi.,2,2,Bahçede:AD-NOUN|gezindi:FİİL-VERB
Bahçıvan bahçeye ilkbaharda yeni fidanlar dikti.,6,3,Bahçıvan:AD-NOUN|bahçeye:AD-NOUN|ilkbaharda:AD-NOUN|yeni:SIFAT-ADJECTIVE|fidanlar:AD-NOUN|dikti.:FİİL-VERB
Bahçıvan bitkilere su verdi.,4,2,Bahçıvan:AD-NOUN|bitkilere:AD-NOUN|su:AD-NOUN|verdi:FİİL-VERB
Bahçıvan çiçekleri suladı.,3,2,Bahçıvan:AD-NOUN|çiçekleri:AD-NOUN|suladı.:FİİL-VERB
