Full_Sentence,Word,Tag
zorla yaptırdı,yaptırdı,FİİL-VERB
güzelce süslendi,güzelce,BELİRTEÇ-ADVERB
güzelce süslendi,süslendi,FİİL-VERB
ayakta duruyordu,ayakta,BELİRTEÇ-ADVERB
ayakta duruyordu,duruyordu,FİİL-VERB
nadiren yağar,nadiren,BELİRTEÇ-ADVERB
nadiren yağar,yağar,FİİL-VERB
sürekli şikayet eder,sürekli,BELİRTEÇ-ADVERB
sürekli şikayet eder,şikayet,AD-NOUN
sürekli şikayet eder,eder,FİİL-VERB
sabahları koşar,sabahları,BELİRTEÇ-ADVERB
sabahları koşar,koşar,FİİL-VERB
geceleri çalışır,geceleri,BELİRTEÇ-ADVERB
geceleri çalışır,çalışır,FİİL-VERB
tekrar denedi,tekrar,BELİRTEÇ-ADVERB
tekrar denedi,denedi,FİİL-VERB
aniden durdu,aniden,BELİRTEÇ-ADVERB
aniden durdu,durdu,FİİL-VERB
epey değişmiş,epey,BELİRTEÇ-ADVERB
epey değişmiş,değişmiş,FİİL-VERB
az konuştu,az,BELİRTEÇ-ADVERB
az konuştu,konuştu,FİİL-VERB
boşuna uğraştı,boşuna,BELİRTEÇ-ADVERB
boşuna uğraştı,uğraştı,FİİL-VERB
ister istemez katıldı,ister,BELİRTEÇ-ADVERB
ister istemez katıldı,istemez,BELİRTEÇ-ADVERB
ister istemez katıldı,katıldı,FİİL-VERB
özellikle belirtti,özellikle,BELİRTEÇ-ADVERB
özellikle belirtti,belirtti,FİİL-VERB
ayrı ayrı paketledi,ayrı,BELİRTEÇ-ADVERB
ayrı ayrı paketledi,ayrı,BELİRTEÇ-ADVERB
ayrı ayrı paketledi,paketledi,FİİL-VERB
kısaca özetledi,kısaca,BELİRTEÇ-ADVERB
kısaca özetledi,özetledi,FİİL-VERB
uzun uzun anlattı,uzun,BELİRTEÇ-ADVERB
uzun uzun anlattı,uzun,BELİRTEÇ-ADVERB
uzun uzun anlattı,anlattı,FİİL-VERB
neşeyle şarkı söyledi,neşeyle,BELİRTEÇ-ADVERB
neşeyle şarkı söyledi,şarkı,AD-NOUN
neşeyle şarkı söyledi,söyledi,FİİL-VERB
kederle baktı,kederle,BELİRTEÇ-ADVERB
kederle baktı,baktı,FİİL-VERB
cesurca savaştı,cesurca,BELİRTEÇ-ADVERB
cesurca savaştı,savaştı,FİİL-VERB
aptalca davrandı,aptalca,BELİRTEÇ-ADVERB
aptalca davrandı,davrandı,FİİL-VERB
açıkça ifade etti,açıkça,BELİRTEÇ-ADVERB
açıkça ifade etti,ifade,AD-NOUN
açıkça ifade etti,etti,FİİL-VERB
tamamen bitti,tamamen,BELİRTEÇ-ADVERB
tamamen bitti,bitti,FİİL-VERB
neredeyse düştü,neredeyse,BELİRTEÇ-ADVERB
neredeyse düştü,düştü,FİİL-VERB
böyle söyledi,böyle,BELİRTEÇ-ADVERB
böyle söyledi,söyledi,FİİL-VERB
öyle istedi,öyle,BELİRTEÇ-ADVERB
öyle istedi,istedi,FİİL-VERB
şöyle yaptı,şöyle,BELİRTEÇ-ADVERB
şöyle yaptı,yaptı,FİİL-VERB
karşılıksız sevdi,karşılıksız,BELİRTEÇ-ADVERB
karşılıksız sevdi,sevdi,FİİL-VERB
gönülden inandı,gönülden,BELİRTEÇ-ADVERB
gönülden inandı,inandı,FİİL-VERB
mecburen kabul etti,mecburen,BELİRTEÇ-ADVERB
mecburen kabul etti,kabul,AD-NOUN
mecburen kabul etti,etti,FİİL-VERB
nihayet başardı,nihayet,BELİRTEÇ-ADVERB
nihayet başardı,başardı,FİİL-VERB
tesadüfen karşılaştı,tesadüfen,BELİRTEÇ-ADVERB
tesadüfen karşılaştı,karşılaştı,FİİL-VERB
önceden haber verdi,önceden,BELİRTEÇ-ADVERB
önceden haber verdi,haber,AD-NOUN
önceden haber verdi,verdi,FİİL-VERB
sonradan pişman oldu,sonradan,BELİRTEÇ-ADVERB
sonradan pişman oldu,pişman,SIFAT-ADJECTIVE
sonradan pişman oldu,oldu,FİİL-VERB
defalarca uyardı,defalarca,BELİRTEÇ-ADVERB
defalarca uyardı,uyardı,FİİL-VERB
ilk önce o konuştu,ilk,BELİRTEÇ-ADVERB
ilk önce o konuştu,önce,BELİRTEÇ-ADVERB
ilk önce o konuştu,o,ADIL-PRONOUN
ilk önce o konuştu,konuştu,FİİL-VERB
en son o çıktı,en,BELİRTEÇ-ADVERB
en son o çıktı,son,BELİRTEÇ-ADVERB
en son o çıktı,o,ADIL-PRONOUN
en son o çıktı,çıktı,FİİL-VERB
ağır ağır ilerliyordu,ağır,BELİRTEÇ-ADVERB
ağır ağır ilerliyordu,ağır,BELİRTEÇ-ADVERB
ağır ağır ilerliyordu,ilerliyordu,FİİL-VERB
hüngür hüngür ağladı,hüngür,BELİRTEÇ-ADVERB
hüngür hüngür ağladı,hüngür,BELİRTEÇ-ADVERB
hüngür hüngür ağladı,ağladı,FİİL-VERB
usulca yaklaştı,usulca,BELİRTEÇ-ADVERB
usulca yaklaştı,yaklaştı,FİİL-VERB
delice sevindi,delice,BELİRTEÇ-ADVERB
delice sevindi,sevindi,FİİL-VERB
beraber başardılar,beraber,BELİRTEÇ-ADVERB
beraber başardılar,başardılar,FİİL-VERB
boş boş baktı,boş,BELİRTEÇ-ADVERB
boş boş baktı,boş,BELİRTEÇ-ADVERB
boş boş baktı,baktı,FİİL-VERB
doğruca gitti,doğruca,BELİRTEÇ-ADVERB
doğruca gitti,gitti,FİİL-VERB
yalnız yaşıyor,yalnız,BELİRTEÇ-ADVERB
yalnız yaşıyor,yaşıyor,FİİL-VERB
gizli gizli dinledi,gizli,BELİRTEÇ-ADVERB
gizli gizli dinledi,gizli,BELİRTEÇ-ADVERB
gizli gizli dinledi,dinledi,FİİL-VERB
farkında olmadan kırdı,farkında,AD-NOUN
farkında olmadan kırdı,olmadan,BELİRTEÇ-ADVERB
farkında olmadan kırdı,kırdı,FİİL-VERB
bilerek yaptı,bilerek,BELİRTEÇ-ADVERB
bilerek yaptı,yaptı,FİİL-VERB
istemeden düşürdü,istemeden,BELİRTEÇ-ADVERB
istemeden düşürdü,düşürdü,FİİL-VERB
kahkahalarla güldü,kahkahalarla,BELİRTEÇ-ADVERB
kahkahalarla güldü,güldü,FİİL-VERB
şaşkınlıkla izledi,şaşkınlıkla,BELİRTEÇ-ADVERB
şaşkınlıkla izledi,izledi,FİİL-VERB
hayranlıkla seyretti,hayranlıkla,BELİRTEÇ-ADVERB
hayranlıkla seyretti,seyretti,FİİL-VERB
öfkeyle kalktı,öfkeyle,BELİRTEÇ-ADVERB
öfkeyle kalktı,kalktı,FİİL-VERB
gururla yürüdü,gururla,BELİRTEÇ-ADVERB
gururla yürüdü,yürüdü,FİİL-VERB
endişeyle sordu,endişeyle,BELİRTEÇ-ADVERB
endişeyle sordu,sordu,FİİL-VERB
merakla bekledi,merakla,BELİRTEÇ-ADVERB
merakla bekledi,bekledi,FİİL-VERB
huzurla uyudu,huzurla,BELİRTEÇ-ADVERB
huzurla uyudu,uyudu,FİİL-VERB
gönülsüzce yardım etti,gönülsüzce,BELİRTEÇ-ADVERB
gönülsüzce yardım etti,yardım,AD-NOUN
gönülsüzce yardım etti,etti,FİİL-VERB
istekle katıldı,istekle,BELİRTEÇ-ADVERB
istekle katıldı,katıldı,FİİL-VERB
aynen katılıyorum,aynen,BELİRTEÇ-ADVERB
aynen katılıyorum,katılıyorum,FİİL-VERB
belki gelir,belki,BELİRTEÇ-ADVERB
belki gelir,gelir,FİİL-VERB
muhtemelen haklı çıktı,muhtemelen,BELİRTEÇ-ADVERB
muhtemelen haklı çıktı,haklı,SIFAT-ADJECTIVE
muhtemelen haklı çıktı,çıktı,FİİL-VERB
kesinlikle kazanamaz,kesinlikle,BELİRTEÇ-ADVERB
kesinlikle kazanamaz,kazanamaz,FİİL-VERB
galiba unuttu,galiba,BELİRTEÇ-ADVERB
galiba unuttu,unuttu,FİİL-VERB
sanki gördüm,sanki,BELİRTEÇ-ADVERB
sanki gördüm,gördüm,FİİL-VERB
adeta yıkıldı,adeta,BELİRTEÇ-ADVERB
adeta yıkıldı,yıkıldı,FİİL-VERB
epeyce yürüdük,epeyce,BELİRTEÇ-ADVERB
epeyce yürüdük,yürüdük,FİİL-VERB
hiç durmadan koştu,hiç,BELİRTEÇ-ADVERB
hiç durmadan koştu,durmadan,BELİRTEÇ-ADVERB
hiç durmadan koştu,koştu,FİİL-VERB
gözünü kırpmadan izledi,gözünü,AD-NOUN
gözünü kırpmadan izledi,kırpmadan,BELİRTEÇ-ADVERB
gözünü kırpmadan izledi,izledi,FİİL-VERB
harfiyen uyguladı,harfiyen,BELİRTEÇ-ADVERB
harfiyen uyguladı,uyguladı,FİİL-VERB
kıs kıs güldü,kıs,BELİRTEÇ-ADVERB
kıs kıs güldü,kıs,BELİRTEÇ-ADVERB
kıs kıs güldü,güldü,FİİL-VERB
şakır şakır yağıyordu,şakır,BELİRTEÇ-ADVERB
şakır şakır yağıyordu,şakır,BELİRTEÇ-ADVERB
şakır şakır yağıyordu,yağıyordu,FİİL-VERB
ayrıca belirtti,ayrıca,BELİRTEÇ-ADVERB
ayrıca belirtti,belirtti,FİİL-VERB
bilhassa uyardı,bilhassa,BELİRTEÇ-ADVERB
bilhassa uyardı,uyardı,FİİL-VERB
bundan böyle gelmeyecek,bundan,ADIL-PRONOUN
bundan böyle gelmeyecek,böyle,BELİRTEÇ-ADVERB
bundan böyle gelmeyecek,gelmeyecek,FİİL-VERB
öteden beri tanışırız,öteden,BELİRTEÇ-ADVERB
öteden beri tanışırız,beri,İLGEÇ-PREPOS
öteden beri tanışırız,tanışırız,FİİL-VERB
ara sıra uğrar,ara,BELİRTEÇ-ADVERB
ara sıra uğrar,sıra,BELİRTEÇ-ADVERB
ara sıra uğrar,uğrar,FİİL-VERB
peş peşe kazandı,peş,BELİRTEÇ-ADVERB
peş peşe kazandı,peşe,BELİRTEÇ-ADVERB
peş peşe kazandı,kazandı,FİİL-VERB
karşılıklı anlaştılar,karşılıklı,BELİRTEÇ-ADVERB
karşılıklı anlaştılar,anlaştılar,FİİL-VERB
derhal terk etti,derhal,BELİRTEÇ-ADVERB
derhal terk etti,terk,AD-NOUN
derhal terk etti,etti,FİİL-VERB
zoraki gülümsedi,zoraki,BELİRTEÇ-ADVERB
zoraki gülümsedi,gülümsedi,FİİL-VERB
yalınayak yürüdü,yalınayak,BELİRTEÇ-ADVERB
yalınayak yürüdü,yürüdü,FİİL-VERB
hâlâ bekliyorum,hâlâ,BELİRTEÇ-ADVERB
hâlâ bekliyorum,bekliyorum,FİİL-VERB
henüz bitmedi,henüz,BELİRTEÇ-ADVERB
henüz bitmedi,bitmedi,FİİL-VERB
artık sevmiyor,artık,BELİRTEÇ-ADVERB
artık sevmiyor,sevmiyor,FİİL-VERB
daima hatırlarım,daima,BELİRTEÇ-ADVERB
daima hatırlarım,hatırlarım,FİİL-VERB
aslen buralı değil,aslen,BELİRTEÇ-ADVERB
aslen buralı değil,buralı,AD-NOUN
aslen buralı değil,değil,FİİL-VERB
şüphesiz kazanacak,şüphesiz,BELİRTEÇ-ADVERB
şüphesiz kazanacak,kazanacak,FİİL-VERB
doğal olarak tepki gösterdi,doğal,BELİRTEÇ-ADVERB
doğal olarak tepki gösterdi,olarak,İLGEÇ-PREPOS
doğal olarak tepki gösterdi,tepki,AD-NOUN
doğal olarak tepki gösterdi,gösterdi,FİİL-VERB
resmen ilan edildi,resmen,BELİRTEÇ-ADVERB
resmen ilan edildi,ilan,AD-NOUN
resmen ilan edildi,edildi,FİİL-VERB
tıpkı benziyor,tıpkı,BELİRTEÇ-ADVERB
tıpkı benziyor,benziyor,FİİL-VERB
gerçekten üzüldü,gerçekten,BELİRTEÇ-ADVERB
gerçekten üzüldü,üzüldü,FİİL-VERB
haksızca davrandı,haksızca,BELİRTEÇ-ADVERB
haksızca davrandı,davrandı,FİİL-VERB
yiğitçe direndi,yiğitçe,BELİRTEÇ-ADVERB
yiğitçe direndi,direndi,FİİL-VERB
çocukça konuştu,çocukça,BELİRTEÇ-ADVERB
çocukça konuştu,konuştu,FİİL-VERB
insafsızca eleştirdi,insafsızca,BELİRTEÇ-ADVERB
insafsızca eleştirdi,eleştirdi,FİİL-VERB
körükörüne inandı,körükörüne,BELİRTEÇ-ADVERB
körükörüne inandı,inandı,FİİL-VERB
rastgele seçti,rastgele,BELİRTEÇ-ADVERB
rastgele seçti,seçti,FİİL-VERB
yalandan ağladı,yalandan,BELİRTEÇ-ADVERB
yalandan ağladı,ağladı,FİİL-VERB
telaşla hazırlandı,telaşla,BELİRTEÇ-ADVERB
telaşla hazırlandı,hazırlandı,FİİL-VERB
hışımla çıktı,hışımla,BELİRTEÇ-ADVERB
hışımla çıktı,çıktı,FİİL-VERB
saygıyla eğildi,saygıyla,BELİRTEÇ-ADVERB
saygıyla eğildi,eğildi,FİİL-VERB
nefretle baktı,nefretle,BELİRTEÇ-ADVERB
nefretle baktı,baktı,FİİL-VERB
sevgiyle kucakladı,sevgiyle,BELİRTEÇ-ADVERB
sevgiyle kucakladı,kucakladı,FİİL-VERB
hasretle andı,hasretle,BELİRTEÇ-ADVERB
hasretle andı,andı,FİİL-VERB
umutsuzca çırpındı,umutsuzca,BELİRTEÇ-ADVERB
umutsuzca çırpındı,çırpındı,FİİL-VERB
çaresizce bekledi,çaresizce,BELİRTEÇ-ADVERB
çaresizce bekledi,bekledi,FİİL-VERB
bilinçli olarak sustu,bilinçli,BELİRTEÇ-ADVERB
bilinçli olarak sustu,olarak,İLGEÇ-PREPOS
bilinçli olarak sustu,sustu,FİİL-VERB
teslimiyetle kabul etti,teslimiyetle,BELİRTEÇ-ADVERB
teslimiyetle kabul etti,kabul,AD-NOUN
teslimiyetle kabul etti,etti,FİİL-VERB
isyanla karşıladı,isyanla,BELİRTEÇ-ADVERB
isyanla karşıladı,karşıladı,FİİL-VERB
inatla sordu,inatla,BELİRTEÇ-ADVERB
inatla sordu,sordu,FİİL-VERB
inatla sustu,inatla,BELİRTEÇ-ADVERB
inatla sustu,sustu,FİİL-VERB
fazlasıyla hak etti,fazlasıyla,BELİRTEÇ-ADVERB
fazlasıyla hak etti,hak,AD-NOUN
fazlasıyla hak etti,etti,FİİL-VERB
oldukça başarılıydı,oldukça,BELİRTEÇ-ADVERB
oldukça başarılıydı,başarılıydı,SIFAT-ADJECTIVE
hiç sevmedi,hiç,BELİRTEÇ-ADVERB
hiç sevmedi,sevmedi,FİİL-VERB
pek beğenmedi,pek,BELİRTEÇ-ADVERB
pek beğenmedi,beğenmedi,FİİL-VERB
tamamen unuttum,tamamen,BELİRTEÇ-ADVERB
tamamen unuttum,unuttum,FİİL-VERB
kısmen haklıydı,kısmen,BELİRTEÇ-ADVERB
kısmen haklıydı,haklıydı,SIFAT-ADJECTIVE
aşağı yukarı aynı,aşağı,BELİRTEÇ-ADVERB
aşağı yukarı aynı,yukarı,BELİRTEÇ-ADVERB
aşağı yukarı aynı,aynı,SIFAT-ADJECTIVE
üç aşağı beş yukarı anlaştık,üç,SIFAT-ADJECTIVE
üç aşağı beş yukarı anlaştık,aşağı,BELİRTEÇ-ADVERB
üç aşağı beş yukarı anlaştık,beş,SIFAT-ADJECTIVE
üç aşağı beş yukarı anlaştık,yukarı,BELİRTEÇ-ADVERB
üç aşağı beş yukarı anlaştık,anlaştık,FİİL-VERB
boncuk boncuk terledi,boncuk,BELİRTEÇ-ADVERB
boncuk boncuk terledi,boncuk,BELİRTEÇ-ADVERB
boncuk boncuk terledi,terledi,FİİL-VERB
delik deşik etti,delik,BELİRTEÇ-ADVERB
delik deşik etti,deşik,BELİRTEÇ-ADVERB
delik deşik etti,etti,FİİL-VERB
paramparça oldu,paramparça,BELİRTEÇ-ADVERB
paramparça oldu,oldu,FİİL-VERB
sırılsıklam ıslandı,sırılsıklam,BELİRTEÇ-ADVERB
sırılsıklam ıslandı,ıslandı,FİİL-VERB
karmakarışık oldu,karmakarışık,BELİRTEÇ-ADVERB
karmakarışık oldu,oldu,FİİL-VERB
apaçık ortadaydı,apaçık,BELİRTEÇ-ADVERB
apaçık ortadaydı,ortadaydı,AD-NOUN
geceleyin geldi,geceleyin,BELİRTEÇ-ADVERB
geceleyin geldi,geldi,FİİL-VERB
kışın kar yağar,kışın,BELİRTEÇ-ADVERB
kışın kar yağar,kar,AD-NOUN
kışın kar yağar,yağar,FİİL-VERB
yazın tatile gideriz,yazın,BELİRTEÇ-ADVERB
yazın tatile gideriz,tatile,AD-NOUN
yazın tatile gideriz,gideriz,FİİL-VERB
sonbaharda dökülür,sonbaharda,BELİRTEÇ-ADVERB
sonbaharda dökülür,dökülür,FİİL-VERB
ilkbaharda açar,ilkbaharda,BELİRTEÇ-ADVERB
ilkbaharda açar,açar,FİİL-VERB
gündüzleri uyur,gündüzleri,BELİRTEÇ-ADVERB
gündüzleri uyur,uyur,FİİL-VERB
er geç anlayacak,er,BELİRTEÇ-ADVERB
er geç anlayacak,geç,BELİRTEÇ-ADVERB
er geç anlayacak,anlayacak,FİİL-VERB
hemen hemen bitti,hemen,BELİRTEÇ-ADVERB
hemen hemen bitti,hemen,BELİRTEÇ-ADVERB
hemen hemen bitti,bitti,FİİL-VERB
böyle devam etmez,böyle,BELİRTEÇ-ADVERB
böyle devam etmez,devam,AD-NOUN
böyle devam etmez,etmez,FİİL-VERB
anbean takip etti,anbean,BELİRTEÇ-ADVERB
anbean takip etti,takip,AD-NOUN
anbean takip etti,etti,FİİL-VERB
adım adım yaklaştı,adım,BELİRTEÇ-ADVERB
adım adım yaklaştı,adım,BELİRTEÇ-ADVERB
adım adım yaklaştı,yaklaştı,FİİL-VERB
cana yakın davrandı,cana,AD-NOUN
cana yakın davrandı,yakın,BELİRTEÇ-ADVERB
cana yakın davrandı,davrandı,FİİL-VERB
günübirlik gitti,günübirlik,BELİRTEÇ-ADVERB
günübirlik gitti,gitti,FİİL-VERB
baştan savma yaptı,baştan,BELİRTEÇ-ADVERB
baştan savma yaptı,savma,BELİRTEÇ-ADVERB
baştan savma yaptı,yaptı,FİİL-VERB
üstünkörü inceledi,üstünkörü,BELİRTEÇ-ADVERB
üstünkörü inceledi,inceledi,FİİL-VERB
ciddi ciddi düşündü,ciddi,BELİRTEÇ-ADVERB
ciddi ciddi düşündü,ciddi,BELİRTEÇ-ADVERB
ciddi ciddi düşündü,düşündü,FİİL-VERB
sıkı sıkı sarıldı,sıkı,BELİRTEÇ-ADVERB
sıkı sıkı sarıldı,sıkı,BELİRTEÇ-ADVERB
sıkı sıkı sarıldı,sarıldı,FİİL-VERB
gizli saklı buluştular,gizli,BELİRTEÇ-ADVERB
gizli saklı buluştular,saklı,BELİRTEÇ-ADVERB
gizli saklı buluştular,buluştular,FİİL-VERB
açık seçik konuştu,açık,BELİRTEÇ-ADVERB
açık seçik konuştu,seçik,BELİRTEÇ-ADVERB
açık seçik konuştu,konuştu,FİİL-VERB
eğri büğrü çizdi,eğri,BELİRTEÇ-ADVERB
eğri büğrü çizdi,büğrü,BELİRTEÇ-ADVERB
eğri büğrü çizdi,çizdi,FİİL-VERB
doğru dürüst anlatmadı,doğru,BELİRTEÇ-ADVERB
doğru dürüst anlatmadı,dürüst,BELİRTEÇ-ADVERB
doğru dürüst anlatmadı,anlatmadı,FİİL-VERB
erken davrandı,erken,BELİRTEÇ-ADVERB
erken davrandı,davrandı,FİİL-VERB
geç kaldı,geç,BELİRTEÇ-ADVERB
geç kaldı,kaldı,FİİL-VERB
içtenlikle gülümsedi,içtenlikle,BELİRTEÇ-ADVERB
içtenlikle gülümsedi,gülümsedi,FİİL-VERB
samimiyetle cevapladı,samimiyetle,BELİRTEÇ-ADVERB
samimiyetle cevapladı,cevapladı,FİİL-VERB
haberi soğukkanlılıkla karşıladı,haberi,AD-NOUN
haberi soğukkanlılıkla karşıladı,soğukkanlılıkla,BELİRTEÇ-ADVERB
haberi soğukkanlılıkla karşıladı,karşıladı,FİİL-VERB
telaşsızca yürüdü,telaşsızca,BELİRTEÇ-ADVERB
telaşsızca yürüdü,yürüdü,FİİL-VERB
korkusuzca atıldı,korkusuzca,BELİRTEÇ-ADVERB
korkusuzca atıldı,atıldı,FİİL-VERB
acımasızca vurdu,acımasızca,BELİRTEÇ-ADVERB
acımasızca vurdu,vurdu,FİİL-VERB
vicdansızca terk etti,vicdansızca,BELİRTEÇ-ADVERB
vicdansızca terk etti,terk,AD-NOUN
vicdansızca terk etti,etti,FİİL-VERB
şaşkınca etrafına bakındı,şaşkınca,BELİRTEÇ-ADVERB
şaşkınca etrafına bakındı,etrafına,AD-NOUN
şaşkınca etrafına bakındı,bakındı,FİİL-VERB
At hızlıca koştu.,At,ADIL-PRONOUN
At hızlıca koştu.,hızlıca,BELİRTEÇ-ADVERB
At hızlıca koştu.,koştu,FİİL-VERB
Babam dün geldi.,Babam,AD-NOUN
Babam dün geldi.,dün,BELİRTEÇ-ADVERB
Babam dün geldi.,geldi,FİİL-VERB
Genç kız sessizce ağlıyordu.,Genç,SIFAT-ADJECTIVE
Genç kız sessizce ağlıyordu.,kız,AD-NOUN
Genç kız sessizce ağlıyordu.,sessizce,BELİRTEÇ-ADVERB
Genç kız sessizce ağlıyordu.,ağlıyordu,FİİL-VERB
O çok çalışır.,O,ADIL-PRONOUN
O çok çalışır.,çok,BELİRTEÇ-ADVERB
O çok çalışır.,çalışır,FİİL-VERB
Heyet yarın gidecek.,Heyet,AD-NOUN
Heyet yarın gidecek.,yarın,BELİRTEÇ-ADVERB
Heyet yarın gidecek.,gidecek,FİİL-VERB
Şoför dışarıda bekliyor.,Şoför,AD-NOUN
Şoför dışarıda bekliyor.,dışarıda,BELİRTEÇ-ADVERB
Şoför dışarıda bekliyor.,bekliyor,FİİL-VERB
Ben asla unutmam.,Ben,ADIL-PRONOUN
Ben asla unutmam.,asla,BELİRTEÇ-ADVERB
Ben asla unutmam.,unutmam,FİİL-VERB
O her zaman güler.,O,ADIL-PRONOUN
O her zaman güler.,her,BELİRLEYİCİ-DET
O her zaman güler.,zaman,AD-NOUN
O her zaman güler.,güler,FİİL-VERB
Yaşlı adam yavaş yavaş yürüdü.,Yaşlı,SIFAT-ADJECTIVE
Yaşlı adam yavaş yavaş yürüdü.,adam,AD-NOUN
Yaşlı adam yavaş yavaş yürüdü.,yavaş,BELİRTEÇ-ADVERB
Yaşlı adam yavaş yavaş yürüdü.,yavaş,BELİRTEÇ-ADVERB
Yaşlı adam yavaş yavaş yürüdü.,yürüdü,FİİL-VERB
Çocuklar sevinçle zıpladı.,Çocuklar,AD-NOUN
Çocuklar sevinçle zıpladı.,sevinçle,BELİRTEÇ-ADVERB
Çocuklar sevinçle zıpladı.,zıpladı,FİİL-VERB
Dinleyiciler dikkatle dinledi.,Dinleyiciler,AD-NOUN
Dinleyiciler dikkatle dinledi.,dikkatle,BELİRTEÇ-ADVERB
Dinleyiciler dikkatle dinledi.,dinledi,FİİL-VERB
Annem akşama dönecek.,Annem,AD-NOUN
Annem akşama dönecek.,akşama,BELİRTEÇ-ADVERB
Annem akşama dönecek.,dönecek,FİİL-VERB
Ben bazen hatırlarım.,Ben,ADIL-PRONOUN
Ben bazen hatırlarım.,bazen,BELİRTEÇ-ADVERB
Ben bazen hatırlarım.,hatırlarım,FİİL-VERB
Hırsız gizlice girdi.,Hırsız,AD-NOUN
Hırsız gizlice girdi.,gizlice,BELİRTEÇ-ADVERB
Hırsız gizlice girdi.,girdi,FİİL-VERB
O hemen anladı.,O,ADIL-PRONOUN
O hemen anladı.,hemen,BELİRTEÇ-ADVERB
O hemen anladı.,anladı,FİİL-VERB
Misafirler içeride oturuyor.,Misafirler,AD-NOUN
Misafirler içeride oturuyor.,içeride,BELİRTEÇ-ADVERB
Misafirler içeride oturuyor.,oturuyor,FİİL-VERB
Başkan şimdi konuşuyor.,Başkan,AD-NOUN
Başkan şimdi konuşuyor.,şimdi,BELİRTEÇ-ADVERB
Başkan şimdi konuşuyor.,konuşuyor,FİİL-VERB
Biz sonra görüşürüz.,Biz,ADIL-PRONOUN
Biz sonra görüşürüz.,sonra,BELİRTEÇ-ADVERB
Biz sonra görüşürüz.,görüşürüz,FİİL-VERB
Eskiden sık sık arardı.,Eskiden,BELİRTEÇ-ADVERB
Eskiden sık sık arardı.,sık,BELİRTEÇ-ADVERB
Eskiden sık sık arardı,sık,BELİRTEÇ-ADVERB
Eskiden sık sık arardı.,arardı,FİİL-VERB
O genellikle okur.,O,ADIL-PRONOUN
O genellikle okur.,genellikle,BELİRTEÇ-ADVERB
O genellikle okur.,okur,FİİL-VERB
Adam sinirle bağırdı.,Adam,AD-NOUN
Adam sinirle bağırdı.,sinirle,BELİRTEÇ-ADVERB
